date,fips,PRECTOT,PS,T2M,WS50M_RANGE,slope3,SQ1,class
20010925.0,1011.0,0.0,100.15,16.12,2.91,0.5407,1.0,0
20000104.0,1093.0,2.86,99.62,6.65,3.42,0.1357,1.0,1
20120327.0,1127.0,0.0,99.88,18.7,3.79,0.2979,1.0,0
20050405.0,1119.0,0.03,100.87,17.44,3.77,0.5154,1.0,0
20150428.0,1081.0,12.74,98.77,15.72,2.12,0.2937,1.0,1
20010109.0,1009.0,0.0,100.18,-2.51,2.4,0.4062,1.0,1
20030513.0,1069.0,0.0,100.98,19.91,4.74,0.523,3.0,0
20140318.0,1085.0,0.12,100.27,10.75,4.98,0.5192,3.0,0
20130409.0,1027.0,0.0,98.96,18.96,4.52,0.424,3.0,0
20150922.0,1113.0,11.4,100.08,21.21,1.34,0.2785,1.0,0
20080401.0,1097.0,10.21,101.55,20.29,3.12,0.5293,1.0,0
20030415.0,1023.0,0.0,101.29,20.31,5.89,0.1418,2.0,0
20011009.0,1025.0,0.8,101.74,17.92,2.04,0.0191,2.0,0
20040323.0,1071.0,0.01,98.98,5.76,4.12,0.4644,1.0,0
20131022.0,1073.0,0.08,99.07,16.0,5.21,0.3945,1.0,1
20150113.0,1065.0,0.07,101.75,5.62,1.31,0.4968,3.0,0
20110419.0,1083.0,3.36,98.41,20.58,3.06,0.2003,1.0,0
20141223.0,1107.0,43.25,99.36,16.92,2.41,0.2742,2.0,1
20110607.0,1061.0,1.07,100.43,28.61,2.7,0.0708,2.0,1
20050628.0,1069.0,15.06,100.82,24.95,2.8,0.523,3.0,0
20000530.0,1127.0,0.0,99.62,22.85,3.19,0.2979,1.0,1
20030204.0,1065.0,1.83,100.94,6.82,4.15,0.4968,3.0,0
20140415.0,1045.0,32.55,100.37,12.48,4.45,0.3585,2.0,0
20150210.0,1033.0,0.0,99.38,1.81,2.29,0.5934,1.0,1
20060711.0,1013.0,0.0,100.8,29.28,4.87,0.5155,3.0,1
20080325.0,1073.0,0.0,100.36,6.13,5.13,0.3945,1.0,1
20021203.0,1021.0,0.17,100.7,9.41,4.11,0.0566,2.0,0
20081118.0,1115.0,0.0,100.16,0.98,2.69,0.3065,1.0,1
20140715.0,1003.0,7.25,100.89,26.67,2.26,0.1005,2.0,0
20030225.0,1077.0,2.8,100.09,-1.08,3.44,0.0533,2.0,0
20080101.0,1005.0,0.0,101.26,5.39,2.79,0.3763,3.0,1
20020813.0,1003.0,0.9,101.37,26.89,3.32,0.1005,2.0,0
20140819.0,1015.0,1.75,98.17,25.61,1.96,0.2014,1.0,1
20131105.0,1083.0,0.0,99.7,12.07,2.14,0.2003,1.0,1
20040127.0,1051.0,0.12,99.92,4.8,3.66,0.5967,1.0,0
20091006.0,1063.0,2.84,100.44,23.09,3.87,0.6201,1.0,0
20020205.0,1069.0,6.19,101.84,4.96,2.88,0.523,3.0,1
20100518.0,1081.0,0.71,99.03,22.31,3.82,0.2937,1.0,0
20040420.0,1007.0,0.0,100.24,18.44,3.9,0.5104,1.0,0
20011204.0,1089.0,0.06,99.64,11.32,4.3,0.3696,3.0,1
20130430.0,1041.0,0.38,100.2,21.4,2.66,0.1571,2.0,0
20010313.0,1091.0,1.36,100.65,15.08,1.97,0.248,1.0,0
20010320.0,1103.0,41.88,98.54,1.53,3.16,0.5713,3.0,0
20051011.0,1073.0,0.0,99.12,20.51,3.89,0.3945,1.0,0
20090512.0,1001.0,5.33,100.4,18.97,2.95,0.39,2.0,0
20130205.0,1031.0,2.32,100.69,12.43,3.64,0.4781,1.0,1
20060613.0,1127.0,0.06,99.2,24.16,2.44,0.2979,1.0,0
20030218.0,1109.0,0.0,100.95,5.55,3.31,0.5444,3.0,0
20040518.0,1061.0,6.12,101.3,23.8,2.13,0.0708,2.0,1
20100803.0,1027.0,1.44,98.77,30.59,4.4,0.424,3.0,1
20140722.0,1061.0,3.33,100.72,25.77,4.27,0.0708,2.0,0
20110419.0,1121.0,0.16,99.1,19.94,3.58,0.5504,3.0,1
20130115.0,1015.0,34.73,98.52,9.63,4.52,0.2014,1.0,1
20080429.0,1003.0,0.0,101.5,16.51,2.68,0.1005,2.0,1
20161206.0,1111.0,19.31,97.79,13.89,3.9,0.1377,1.0,1
20160802.0,1007.0,6.42,100.14,28.97,1.91,0.5104,1.0,1
20060131.0,1069.0,0.0,100.87,7.79,3.36,0.523,3.0,1
20020430.0,1045.0,3.07,100.43,25.16,4.82,0.3585,2.0,1
20001212.0,1005.0,1.14,101.01,9.32,2.26,0.3763,3.0,1
20040608.0,1045.0,2.55,101.0,26.94,2.02,0.3585,2.0,1
20140708.0,1065.0,0.51,100.83,27.01,2.78,0.4968,3.0,0
20100601.0,1059.0,6.62,99.16,25.16,4.03,0.1832,1.0,0
20150428.0,1091.0,4.18,100.25,15.69,2.81,0.248,1.0,0
20090310.0,1075.0,0.0,100.47,19.03,2.68,0.4507,1.0,0
20130813.0,1097.0,19.68,101.19,27.24,1.81,0.5293,1.0,0
20140729.0,1077.0,0.0,99.4,20.88,1.7,0.0533,2.0,0
20060829.0,1029.0,3.99,98.04,28.0,1.8,0.3602,3.0,1
20141021.0,1063.0,0.0,100.79,16.94,4.73,0.6201,1.0,1
20070828.0,1047.0,4.87,100.83,27.57,2.04,0.3962,2.0,1
20010116.0,1001.0,8.36,100.72,6.13,2.46,0.39,2.0,1
20110809.0,1039.0,9.35,100.05,28.33,2.19,0.4612,3.0,1
20070424.0,1127.0,1.47,99.85,20.93,2.59,0.2979,1.0,1
20130305.0,1049.0,10.18,97.92,8.92,5.17,0.3013,1.0,0
20080325.0,1003.0,0.0,102.43,8.91,3.39,0.1005,2.0,0
20030923.0,1083.0,0.0,98.78,18.47,2.55,0.2003,1.0,0
20040309.0,1061.0,0.05,100.67,11.24,5.45,0.0708,2.0,0
20120515.0,1117.0,0.35,99.51,20.77,3.46,0.3501,1.0,1
20010717.0,1091.0,0.0,101.05,26.49,2.58,0.248,1.0,0
